no,cate,from,prize,hm,etc,url,churl,prizetxt,chtxt,img,chimg,primg,main,sub
11,家電・調理器具,囲碁・将棋チャンネル,ダイソン　ドライヤー,3,色は選べません,,,,,011.jpg,ch011.png,pr011.png,家電・調理器具,
12,家電・調理器具,女性チャンネル♪LaLaTV,レコルト　Home BBQ,1,,https://www.lala.tv/,https://www.lala.tv/programs/three_meals_mountain_village/,テーブルで楽しむBBQスタイルが魅力のテーブルクッキングプレート。パワフルな火力と、本体までまるごと洗えてすっきりお手入れできるのが最大の魅力。,"―もっと自由に、もっとしなやかに、もっと夢中に―
LaLa TVは、好奇心を持ち続けるエイジレスな女性たちに向けたエンタテインメント・メディアです。
世界の最新・名作ドラマから、食・旅・音楽、こだわりのライフスタイルまで、さまざまなコンテンツをお届けし、暮らしを豊かに彩ります。

Love actively Live attractively
好きなものは積極的に、生き方は魅力的に。新しい私に出会う。LaLa TV",012.jpg,ch012.png,pr012.png,家電・調理器具,
13,家電・調理器具,シネフィルWOWOW,パナソニック　コーヒーメーカー,1,,https://www.cinefilwowow.com/,https://www.cinefilwowow.com/feature/saturday_masterpiece_theater/,こだわりのドリップ方式と、選べる3コースの組み合わせで、淹れ方を変えて好みの味に。本体内蔵のミルでは、粗挽き・中細挽きの挽き分けも可能。ドリップコーヒーのバリエーションが広がる、多機能コーヒーメーカー。,名作にこだわり、厳選した映画・ドラマを、高画質で放送する名画専門チャンネル。劇場ヒット作から話題作、他では観られないミニシアター公開作やヨーロッパ映画など、充実のラインナップでお届け。さらに、WOWOWオリジナルドラマや英国ドラマなど、見応えあるドラマシリーズのほか、日本を代表する傑作アニメも放送中です。,013.jpg,ch013.png,pr013.png,家電・調理器具,
14,アウトドア・スポーツ,J SPORTS,ノースフェイス　ビジネスリュック,1,,https://www.jsports.co.jp/,https://www.jsports.co.jp/motor/supergt/,耐久性、防水性に優れたバリスティクスナイロンを使用したコンピュータースリーブ内蔵のビジネスシーンにも活躍するデイパック,"国内最大4チャンネルのスポーツ専門チャンネルJ SPORTS
プロ野球、MLB、サッカー、GT、WRC、ラグビー、WWE、サイクル、フィギュア、スキー、卓球、バドミントン、Bリーグ、高校バスケなどの中継の他、情報番組やドキュメンタリーも充実",014.jpg,ch014.png,pr014.png,アウトドア・スポーツ,
15,アウトドア・スポーツ,スカイA,TOUR B　ボールギフトセット,3,,https://www.sky-a.co.jp/,https://www.sky-a.co.jp/category/baseball/4000021/,ボール×4、ハンドタオル、ポーチ、ウッドティー×3、マーカー、ソックスが入ったギフトセット。ボールは、フェースに吸い付くソフトな打感で、優れたスピンとソフトフィール+飛びのバランスが魅力のTOUR B XS。,"阪神タイガースは試合からキャンプ中継、ドラフト会議など年中放送。学生野球、ゴルフ（トーナメント＆レッスン番組）、サッカー、卓球、バスケ、ボウリング、クライミング、新体操、チアリーディング、バトントワーリングなど様々なスポーツ中継が充実。
画像あり（覗いてみた.png）©なし",015.jpg,ch015.png,pr015.png,アウトドア・スポーツ,
16,ホビー・リラックス,ミュージック・エア,YAMAHA　トールボーイスピーカー,1,,,,,,016.jpg,ch016.png,pr016.png,ホビー・リラックス,
17,家電・調理器具,CNNｊ,タニタ　体組成計,3,,,,,,017.jpg,ch017.png,pr017.png,家電・調理器具,
18,家電・調理器具,日経CNBC,オリジナル　ペアタンブラー,2,,https://www.nikkei-cnbc.co.jp/,https://www.nikkei-cnbc.co.jp/program/asa,槌目加工の純銅製のタンブラーです。注いだ瞬間から味が冴え、口をつけるだけで冷たさを実感できます。ビールはもちろんカクテルやお茶、もはや水さえも注ぐだけでとにかく美味しくなります。,世界１０８ヶ国・４億世帯のネットワークを持つ米国ＣＮＢＣのノウハウと日本経済新聞の取材力をフルに生かした２４時間ビジネス・経済専門チャンネル。いま注目のゲストも多数出演しています。,018.jpg,ch018.png,pr018.png,家電・調理器具,
19,キッズ,アニマックス,ふわふわぬいぐるみ S まる子,3,© さくらプロダクション / 日本アニメーション,https://www.animax.co.jp/,https://www.animax.co.jp/programs/NN10002207,"アニメ『ちびまる子ちゃん』の主人公まる子ちゃん ふわふわぬいぐるみ

© さくらプロダクション / 日本アニメーション",不朽の名作から最新のTV シリーズ、劇場版やOVA、そしてオリジナルのアニメシリーズまで、あらゆるジャンルのアニメーションを24 時間ノンストップでお届け︕アニメ見るならアニマックス︕,019.jpg,ch019.png,pr019.png,キッズ,
20,キッズ,テレ朝チャンネル1.2,ドラえもん野球盤＆ぬいぐるみ,2,©藤子プロ・小学館・テレビ朝日・シンエイ・ＡＤＫ,https://www.tv-asahi.co.jp/ch/,https://www.tv-asahi.co.jp/ch/,"家族みんなで楽しめる「ドラえもん野球盤」とドラえもんぬいぐるみをセットでプレゼント。

（ｃ）藤子プロ・小学館・テレビ朝日・シンエイ・ＡＤＫ","テレ朝チャンネル１では、人気のドラマ・アニメ・音楽ライブやバラエティなどが盛りだくさん。「ドラえもん」は月曜から日曜まで毎日放送！
テレ朝チャンネル２は、フィギュアスケート、サッカー、新日本プロレス、水泳、バドミントン、などスポーツ盛りだくさん！さらに、名作アニメ、ドラマ、サスペンスも放送中！",020.jpg,ch020.png,pr020.png,キッズ,
21,キッズ,キッズステーション,アンパンマン カラフルおでかけ砂場セット,3,©やなせたかし／フレーベル館・TMS・NTV,https://www.kids-station.com/,https://www.kids-station.com/special/anpanmanspecial,"アンパンマンとばいきんまんがかいてあるビニールバッグに、砂場アイテムが収納された「おでかけ砂場セット」！
セット内容：収納袋×１　砂型×２（アンパンマンとばいきんまん）　バケツ×１　ジョーロ×１　スコップ×１　クマデ×１",アンパンマン、ポケモン、妖怪ウォッチのアニメを毎日放送！　さらに、ハピクラをはじめとする未就学児向けオリジナル番組や、名探偵コナンの劇場版などの人気作、名作アニメも！子どもから大人まで夢中になれるエンタテインメントが勢ぞろい。夢、感動にあふれ、創造力を刺激する楽しさいっぱいの“こども・アニメ専門チャンネル”キッズステーション！,021.jpg,ch021.png,pr021.png,キッズ,
22,"家電・調理器具,WEB限定",チャンネル銀河,Panasonic　衣類スチーマー,1,ガイド誌掲載,https://www.ch-ginga.jp/,https://www.ch-ginga.jp/feature/otasuketai/,ハンガーにかけたまま、サッとシワ・ニオイとり。 手軽に衣類ケアできる衣類スチーマー。,大河「花燃ゆ」、中国「如懿伝（にょいでん）」、韓国「朱蒙 チュモン」、トルコ「オスマン帝国外伝」他、日本初放送を含む世界各国の歴史ドラマから「松本清張サスペンス」、「孤独のグルメ」等の国内ドラマやNHKの豪華歌謡番組まで大人世代の番組が満載,022.jpg,ch022.png,pr022.png,家電・調理器具,",WEB限定"
23,"家電・調理器具,WEB限定",アジアドラマチックTV,ヴィダル サスーン　ヘアドライヤー,3,ガイド誌掲載,http://www.asiadramatictv.com/,http://www.asiadramatictv.com/lineup/SO0000009284/,"サロン仕様ドライヤー！マイナスイオン機能搭載！
風速の高いシロッコファンで根元から髪を素早く乾燥します！","「アジアドラマチックTV（アジドラ）」は、韓流・華流のドラマや映画を中心にアジア各国から厳選！ノーカット、途中CMなし、字幕放送で放送しているチャンネルです。
人気のラブコメ、ドロドロ愛憎劇はもちろん、人気の俳優や脚本家の作品をとことんお楽しみいただけるような企画特集も組んでいます。",023.jpg,ch023.png,pr023.png,家電・調理器具,",WEB限定"
24,"家電・調理器具,WEB限定",Ｖ☆パラダイス,ツインバード　コードレス　ハンディクリーナー,1,,https://www.vpara.com/,https://www.vpara.com/information/hakkyoku/,"かんたんお手軽な充電式ハンディクリーナー。
コードレスだから、必要なときにさっと取り出して使えます。
キッチンやリビング、子供部屋、階段などのちょっとしたお掃除におすすめ。",任侠、セクシー、ジャンル多彩なVシネから、あの人気女優が出演したお宝映画、麻雀、パチンコ、スロットの実践番組、旬な作品がどこよりも豊富なグラビア、興奮間違いなしのバラエティまで豪華なラインナップを放送中。“大人の観たい”がここにある。,024.jpg,ch024.png,pr024.png,家電・調理器具,",WEB限定"
25,"家電・調理器具,WEB限定",ショップチャンネル,クーンリコン　調理補助鍋ユニバーサルポット,1,,https://www.shopch.jp,https://www.shopch.jp,＜クーンリコン＞より、独特の寸胴形状で扱いやすい小ぶりなサイズが特徴の「ユニバーサルポット」です。メインの鍋の補助調理鍋として、またアスパラガス・トウモロコシなど長めの野菜やソーセージのボイル等にも便利なサイズです。,日本初のショッピング専門チャンネルとして1996年にスタート。ファッション、ビューティー、ホームグッズ、グルメなど、バイヤーが厳選した多彩な商品を24時間ご紹介。ご自宅で世界中の逸品に出会い、メーカー担当者やデザイナー本人による商品説明と、生放送ならではの臨場感とをお楽しみいただけます。,025.jpg,ch025.png,pr025.png,家電・調理器具,",WEB限定"
26,"家電・調理器具,WEB限定",ファミリー劇場,アイリスオーヤマ　炊飯器5.5合炊き,1,ガイド誌掲載,,,,,026.jpg,ch026.png,pr026.png,家電・調理器具,",WEB限定"
27,"家電・調理器具,WEB限定",映画・チャンネルNECO,マキタ　充電式クリーナー,1,,,,,,027.jpg,ch027.png,pr027.png,家電・調理器具,",WEB限定"
28,"家電・調理器具,WEB限定",日テレG+,ロゴ入り　サーモス真空断熱タンブラー,3,,https://www.ntv.co.jp/G/,https://www.ntv.co.jp/G/nfl/,"ジャイアンツのロゴが刻印された「THERMOS」タンブラー。
保温性抜群のタンブラーはTV観戦に大活躍！",巨人主催試合を完全生中継！「日テレ＋巨人＋人気スポーツ」の充実したラインナップ！プロレスＮＯＡＨ、ボクシングなど格闘技、ＭｏｔｏＧＰ、ＮＦＬ、サッカー…超豪華ソフトが目白押し！,028.jpg,ch028.png,pr028.png,家電・調理器具,",WEB限定"
29,"アウトドア・スポーツ,WEB限定",ディスカバリーチャンネル,パタゴニア製リュック,1,,https://www.discoverychannel.jp/channel/,https://www.dplay.jp/article/military/0000000435,"ほどよい収納力を備えぴったりとフィットして快適な、どこへでも携帯できるクラシックなバックパックです。
Credit: Discovery Communications, LLC",ディスカバリーチャンネルは、世界中の人々の情熱を引き出し、好奇心を満たす上質な体験を提供するメディアです。宇宙、クルマ、サバイバル、アドベンチャーをはじめ、サイエンス、テクノロジー、ライフスタイルなど多岐に渡る情報を、世界220以上の国・地域で配信されている世界最大級のネットワークを駆使し、新しい発見とともにお届けします。日本では1997年より放送を開始しており、現在全国のケーブルテレビ局、スカパー！、IPTV放送、各種オンラインメディアなどでご覧いただけます。,029.jpg,ch029.png,pr029.png,アウトドア・スポーツ,",WEB限定"
30,"アウトドア・スポーツ,WEB限定",アニマルプラネット,アニマルプラネット　ゴ入りサンシェード,3,,https://www.discoverychannel.jp/channel/?id=ap,https://www.dplay.jp/article/animal/0000000436,"アニマルプラネットのロゴ入り、Colemanサンシェード。

Credit: Discovery Communications, LLC",アニマルプラネットは世界最大級の動物チャンネルブランドです。あらゆる方法で人々を動物に近づけることで、誰もが幼少期に抱く動物への好奇心や感動を持ち続けられるようにするというミッションのもと、上質な動物コンテンツを生み出し提供しています。世界200以上の国・地域において合計約3億6千万世帯で視聴されているアニマルプラネットは、弱肉強食の世界から動物と人々の関わり、犬・猫などのペットまで豊富なラインナップを取り揃え、美しい映像と親しみのあるストーリーでお届けします。多様な視点から描いた動物たちの姿は魅力的で、驚きと発見に満ちています。日本では2000年12月より放送を開始。現在は全国のケーブルテレビ局、スカパー！、IPTV放送、各種オンラインメディアなどでご覧いただけます。,030.jpg,ch030.png,pr030.png,アウトドア・スポーツ,",WEB限定"
31,"アウトドア・スポーツ,WEB限定",GAORA　SPORTS,ＧＡＯＲＡ特製ヨガマット,3,,,,,ラインアップの幅広さで選ぶならGAORA SPORTS！プロ野球（阪神・北海道日本ハム）を試合開始前からゲームセットまで完全中継！男子テニスATPツアー、ゴルフ、モータースポーツ、バレーボール、バスケットボール、プロレス・格闘技など様々なスポーツをお届け。国内外のスポーツを一年中オンエア！,031.jpg,ch031.png,pr031.png,アウトドア・スポーツ,",WEB限定"
32,"アウトドア・スポーツ,WEB限定",釣りビジョン,ロゴ入り　ライフジャケット（ショルダータイプ）,3,,https://www.fishing-v.jp/,https://www.fishing-v.jp/program/series.php?p=49,"釣行時はもちろん、水辺のレジャーなど様々な用途に対応するベーシックタイプです。
ハルキーロバーツ社製 HR-6F充気装置が落水時に水を感知し、自動で膨張します。
国土交通省型式承認品（桜マーク有り）　小型船舶用救命胴衣(膨脹式)　TYPE A
（小型船舶の全ての航行区域で、法定備品として使用できます。）","磯、船、堤防！ルアーもフライも！あらゆる釣りを取り揃えた日本で唯一の釣り専門チャンネル！
身近な釣りから憧れの海外釣行まで、年間およそ500本制作するオリジナル番組をいつでも放送中。",032.jpg,ch032.png,pr032.png,アウトドア・スポーツ,",WEB限定"
33,"ホビー・リラックス,WEB限定",ムービープラス,ルルド　マッサージクッション,1,,https://www.movieplus.jp/,https://www.movieplus.jp/special/007/,"熟練の手技を研究した「プロもみ」搭載のマッサージクッション。
首・肩・腰・おしり・背中・ふともも・ふくらはぎなど、こった部分にあてるだけ。
カラダにフィットするから、立体的なもみ心地が体感できます。",加入世帯数最大級の映画チャンネル。ハリウッド・アクション大作やシリーズ一挙放送をＨＤ／５．１ｃｈでお届け！人気声優吹替版も充実。さらに、カンヌ映画祭独占、スター来日番組など、映画の感動が盛りだくさん！,033.jpg,ch033.png,pr033.png,ホビー・リラックス,",WEB限定"
34,"ホビー・リラックス,WEB限定",MUSIC　ON! TV（エムオン！）,ソニー　ワイヤレスポータブルスピーカー,3,,http://www.m-on.jp/,,"SONY ワイヤレスポータブルスピーカー 　型番：SRS-XB22(B)
迫力ある重低音で音楽を楽しめる、持ち運び可能なワイヤレススピーカー。
防水・防塵・防錆（ぼうせい）機能を搭載し、お風呂、キッチンだけでなく海やアウトドアでも使用可能！","ライブ見るならエムオン!で!!
土日も平日も、365日毎日ライブをオンエア!!
MUSIC ON! TV（エムオン!）は、ライブコンテンツやアーティスト特番が充実！
J-POPやK-POP、アイドル、アニソンなど、さまざまなジャンルを網羅。
「みんなの見たい・知りたい」を、満足させる幅広い番組を絶賛放送中！",034.jpg,ch034.png,pr034.png,ホビー・リラックス,",WEB限定"
35,"ホビー・リラックス,WEB限定",AXN（ソニー・ピクチャーズ エンターテインメント）,ソニー　ワイヤレスヘッドセット,3,ガイド誌掲載,https://www.axn.co.jp/,https://www.axn.co.jp/programs/alex_rider,"SONY ワイヤレスステレオヘッドセット 型番：WH-CH510
最大35時間再生のロングバッテリー！1日5時間聴いても1週間充電いらずです。
さらに、10分の充電で90分の再生が可能なクイック充電にも対応！",ハリウッドの超大作を中心に、最新の海外ドラマを24時間オンエア！全米で絶大な人気を誇る「シカゴ・ファイア」「シカゴ P.D.」「シカゴ・メッド」のシリーズ3部作の他、全米高視聴率の人気シリーズを多数ラインナップ。,035.jpg,ch035.png,pr035.png,ホビー・リラックス,",WEB限定"
36,"ホビー・リラックス,WEB限定",スーパー！ドラマTV,ヒポポタマス　バスタオルセット,2,2枚1セット,https://www.superdramatv.com/,https://www.superdramatv.com/lineup/SNN000004081.html,国際的なオーガニック繊維基準の認定を受けたオーガニックコットンを使用した高級タオル。安心素材を使用しているので、赤ちゃんにもお肌が敏感な方にも使用可能です。,"いま話題の最新ドラマがここに集結！特別番組や一挙放送企画なども充実。史上最強の海外ドラマ専門チャンネル！
日本最大の海外ドラマ専門チャンネル スーパー！ドラマTV。「MANIFEST／マニフェスト」「クリミナル・マインド」「S.W.A.T.」など話題作、大ヒット作、日本初の海外ドラマが大集結！
オススメ番組「MANIFEST／マニフェスト シーズン2」
モンテゴ航空828便は乱気流に見舞われるも無事空港に着陸。しかしそこは5年半後の未来だった。シーズン2では搭乗者の頭の中で聞こえる“呼びかけ”の謎に迫る。『バック・トゥ・ザ・フューチャー』シリーズの監督ロバート・ゼメキスが制作総指揮を務めるSFサスペンスドラマの新シーズンを独占日本初放送。
10/20(火)22:00スタート!
【二カ国語版】毎週火曜22:00ほか
【　字幕版　】 毎週火曜24:00ほか",036.jpg,ch036.png,pr036.png,ホビー・リラックス,",WEB限定"
37,"ホビー・リラックス,WEB限定",MONDO　TV　,ANKER　Bluetoothコンパクトスピーカー,3,,https://www.mondotv.jp/,https://www.mondotv.jp/,手のひらにのるコンパクトサイズのBluetoothワイヤレススピーカーです。IPX7の防水規格に対応、アウトドアやお風呂場などでも音楽を楽しむことができます。小型サイズながらクリアな高音と深みのある低音が魅力が人気の商品です。,"遊びごころのある大人の男性にぜひおすすめしたいチャンネル、それがMONDO TVです。各種ホビーやサブカル、麻雀、パチンコ＆パチスロ、アイドルなど、様々なジャンルの番組を多数ラインナップ、きっとお気に入りが見つかるはずです。他では見ることができない、大人のエンタメ
番組の数々をぜひご覧ください。
■おすすめ番組：「ザ・純烈ショー！3」
MONDO TVに「純烈」が三度めの降臨！メンバーがそれぞれ、競馬、パチンコ＆パチスロ、カジノ、釣りやサバイバルゲームなど「大人の男の趣味遊び」を楽しむ番組の第3弾。「MONDO TV」の独占放送でお届けします！今回は趣味遊びを楽しみながら、おすすめの温泉やマル秘スポットもご紹介。番組内の歌謡ショーもお楽しみに！（放送日時：10/8から放送開始・毎週木曜午後11時～他）
写真©G-STAR.PRO",037.jpg,ch037.png,pr037.png,ホビー・リラックス,",WEB限定"
38,"ホビー・リラックス,WEB限定",MTV,SHURE　ワイヤレスイヤフォン,1,,http://www.mtvjapan.com/,http://www.mtvjapan.com/,"● 高音質ワイヤレスイヤホン
SHUREらしい臨場感あふれる高音質サウンドを楽しめるエントリーモデル
● 安定した装着感と高遮音性
高遮音性デザインは周囲の雑音を自然にブロック
● 15分の充電で約2時間再生（満充電で最大８時間）
急な充電切れでも短時間充電ですぐに使用可能",MTVは、約180か国で視聴されている世界最大級のユース向け音楽＆エンターテインメント専門チャンネル。チャート、ライブ映像など多彩なコンテンツを日本オリジナル編成で24時間放送中です。,038.jpg,ch038.png,pr038.png,ホビー・リラックス,",WEB限定"
39,"ホビー・リラックス,WEB限定",歌謡ポップスチャンネル,カラオケ1番,1,ガイド誌掲載,https://www.kayopops.jp/,https://www.kayopops.jp/ichibanboshi/,テレビに接続するだけで、イメージ映像＋歌詞が流れるカラオケモニターに早変わり！たっぷり６００曲内蔵で、演歌やポップスのヒット曲も多数収録。簡単操作で自宅にいながら本格カラオケ気分が味わえる、マイク型のカラオケマシーン。,聴きたい歌が ここにある。歌謡曲、アイドル、フォーク＆ニューミュージック、J-POPなどさまざまなジャンルの名曲をお届け。演歌・歌謡曲の最新情報や、過去の貴重な映像から最新コンサートまで見逃せない番組が豊富にラインナップ！日本で唯一の歌謡曲専門チャンネルです。,039.jpg,ch039.png,pr039.png,ホビー・リラックス,",WEB限定"
40,"キッズ,WEB限定",カートゥーンネットワーク,「ぼくらベアベアーズ」ぬいぐるみセット,3,,https://www.cartoonnetwork.jp/,https://www.cartoonnetwork.jp/cn_programs/microsite/01001,大人気番組『ぼくらベアベアーズ』の主人公であるクマさんたち、「グリズ」「パンダ」「アイスベア」が、かわいいぬいぐるみになりました。モフモフ感がたまりません！３体をセットでプレゼントしますので、どしどしご応募下さい！,"「カートゥーン ネットワーク」は、世界192カ国以上、およそ4億世帯が視聴する世界最大級のアニメ専門チャンネルです。「トムとジェリー」「きかんしゃトーマス」などの大人気アニメから、最新の海外のヒットアニメまで幅広くラインナップ。日本語と英語のバイリンガル放送も充実しています。
■おすすめ番組：「ぼくらベアベアーズ」
たくさんの友達を作りたい！そんな願いを持つ３匹のクマさん、「グリズ」「パンダ」「アイスベア」が、人間社会に溶け込もうと葛藤する姿をユーモアたっぷりに描きます。わんぱくな「グリズ」、ちょっとオタクな「パンダ」、超マイペースな「アイスベア」、それぞれ際立つ個性全開のコメディ・アニメ！
写真TM & © 2020 Cartoon Network",040.jpg,ch040.png,pr040.png,キッズ,",WEB限定"
