id,Title,Content
236,ファミリー劇場,
239,映画・チャンネルNECO,
240,時代劇専門チャンネル,
241,日本映画専門チャンネル,
242,"スーパー！ ドラマTV",
243,"女性チャンネル♪LaLa TV",
244,ムービープラス,
245,"AXN  海外ドラマ",
246,ホームドラマチャンネル　韓流・時代劇・国内ドラマ,
247,アジアドラマチックTV,
248,シネフィルWOWOW,
249,チャンネル銀河　歴史ドラマ・サスペンス・日本のうた,
250,DATV,
251,"AXN  ミステリー",
252,FOX,
253,FOXムービー,
254,スカイA,
255,"GAORA SPORTS",
256,日テレジータス,
257,"J SPORTS 1",
258,"J SPORTS 2",
259,"J SPORTS 3",
260,ゴルフネットワーク,
261,スポーツライブ＋,
262,MTV,
263,歌謡ポップスチャンネル,
265,ミュージック・エア,
266,"MUSIC ON! TV（エムオン!）",
267,スペースシャワーTV,
268,キッズステーション,
269,アニマックス,
270,ディズニーチャンネル,
272,ディズニーJr,
273,カートゥーンネットワーク,
274,"テレ朝チャンネル1 ドラマ・バラエティ・アニメ",
275,テレ朝チャンネル2　ニュース・情報・スポーツ,
276,"フジテレビONE スポーツ・バラエティ",
277,"フジテレビTWO ドラマ・アニメ",
278,TBSチャンネル1　最新ドラマ・音楽・映画,
279,TBSチャンネル2　名作ドラマ・スポーツ・アニメ,
280,日テレプラス　ドラマ・アニメ・音楽ライブ,
281,日経CNBC,
282,日テレNEWS２４,
283,CNNj,
284,"TBS NEWS",
285,お天気情報チャンネル,
286,"MONDO TV",
287,旅チャンネル,
288,囲碁・将棋チャンネル,
289,ディスカバリーチャンネル,
290,ヒストリーチャンネル,
291,アニマルプラネット,
292,釣りビジョン,
293,エンタメ～テレ☆シネドラバラエティ,
294,ナショナルジオグラフィック,
295,ナショジオワイルド,
296,寄席チャンネル,
297,"ダンスチャンネル by エンタメ～テレ",
298,ショップチャンネル,
299,ジャパネットチャンネルDX,
300,ジュエリー☆GSTV,
301,QVC,
302,ZTVコミュニティチャンネル,
303,MCTVコミュニティチャンネル(第1),
304,MCTVコミュニティチャンネル(第2),
305,伊賀タウン情報(7ch),
306,行政チャンネル,
307,"NHK BS1",
308,"NHK BSプレミアム",
309,BS日テレ,
310,BS朝日,
311,BS-TBS,
313,BSテレ東,
314,BSフジ,
315,BS11(イレブン),
316,BS12(トゥエルビ),
1394,ディズニーXD,
